所在城市,公司名字,曝光/施行时间,制度描述,suggested_label,label
杭州,[彩讯股份](https://www.richinfo.cn/),2025年01月,十年社保只有五天年假(严重违法)，每月义务加班4.5天不等，绩效按加班时长排,2,
天津,[云账户](https://www.yunzhanghu.com/),2019年6月,大小周,0,
北京,[中国农业银行研发中心](http://www.abchina.com/cn/),2015年1月,996无偿加班，降薪,2,
上海,[百安居](https://www.bthome.com/),2019年6月,996,1,
上海,[拼多多](https://www.pinduoduo.com//),2019年2月,11116、两班倒,0,
上海,[盛赫游戏](http://www.shengheyouxi.com),2019年3月,大小周,0,
上海,[砸立](https://m.eyee.com/),2019年1月,996,1,
上海,[游族网络](https://www.youzu.com/),2018年3月,996,1,
上海,[蝴蝶互动](http://hoodinn.hgame.com/default/index),2019年2月,966,0,
上海,[上海联影医疗科技有限公司](https://www.united-imaging.com/cn/home/),2019年4月4日,996、无加班费,1,
上海,[依图网络科技有限公司](http://www.yitutech.com/),2019年4月5日,996,1,
上海,[饿了么](https://www.ele.me/),2019年4月7日,996 or 997,1,
上海,[德邦物流](https://www.deppon.com/),2019年4月7日,996,1,
上海,[兴业数字金融服务](www.cibfintech.com/),2019年4月7日,996,1,
上海,[小红书](https://www.xiaohongshu.com/),2019年4月7日,1095,0,
上海,[依图科技](https://www.yitutech.com/),2019年4月7日,996,1,
上海,[上海壹米滴答供应链管理有限公司](https://www.yimidida.com),2019年4月8日,大小周,0,
上海,[金杜律师事务所](https://www.kwm.com/zh/cn),2019年4月8日,早10晚6但基本9点以后下班，周末给任务，请假给任务,0,
上海,[上海鱼泡泡信息科技有限公司](https://www.yupaopao.com//),2018年12月,996,1,
上海,[掌门一对一教育有限公司](https://www.zhangmen.com/),2019年4月,大小周,0,
上海,[七牛云](https://www.qiniu.com/),2018年11月,995、裁员,1,
上海,[邻趣网络有限公司](https://linjia.me),2018年9月,995,1,
东莞,[步步高](www.gdbbk.com/),2019年4月7日,8106 ！,0,
佛山,[美的集团](https://www.midea.cn/),2019年4月7日,996大小周,1,
北京,[京东](https://www.jd.com),2019年3月,995,1,
北京,[58同城](https://www.58.com),2019年4月7日,996,1,
北京,[途家网](https://www.tujia.com),2017年12月,897,0,
北京,[每日优鲜](https://www.missfresh.cn/),-----,007/996,1,
北京,[字节跳动](https://bytedance.com),2017年7月,996,1,
北京,[用友](http://www.yonyou.com/),2018年12月,997,0,
北京,[神策数据](https://www.sensorsdata.cn/),2019年3月,大小周,0,
北京,[中软国际](http://www.chinasofti.com/),2019年3月,996,1,
北京,[柯莱特](http://www.camelotchina.com/),2019年3月,996,1,
北京,[高伟达](http://www.git.com.cn/),2019年3月,996,1,
北京,[霁云科技](https://xin.baidu.com/detail/compinfo?pid=xlTM-TogKuTwdr2zNtf0Zpjhxx2gQd9FZQmd&from=ps),2019年3月,996,1,
北京,[北京关键科技股份有限公司](http://www.keyware.com.cn/),2019年3月,986,0,
北京,[首约科技（北京）有限公司](https://www.01zhuanche.com/),2019年3月,996,1,
北京,[Boss直聘(北京华品博睿网络技术有限公司)](https://www.zhipin.com/),2019年4月2日,大小周,0,
北京,[北京游奕互动软件有限公司](http://www.uegame.com/),2016年3月,986,0,
北京,[小米](https://www.mi.com),2019年4月7日,10106,0,
北京,[亚信(AsiaInfo)](https://www.asiainfo.com),2019年4月7日,996,1,
北京,[猎聘网](https://www.liepin.com/),2019年4月7日,996,1,
北京,[百度](https://www.baidu.com/),2019年4月7日,996,1,
北京,[便利蜂](https://www.bianlifeng.com/),2019年4月7日,10105,0,
北京,[VIPKID](https://www.vipkid.com.cn/),2019年4月7日,10106,0,
